skin_key,overall_premium,aesthetic,showing_off,belonging,collection,surprise,confidence,rationale,cached,error
0054-17201,52.0,78.0,22.0,45.0,28.0,58.0,4,画面完成度和配色有明显加分，但作为60点券勇者秒杀，稀缺性与排面有限，情绪溢价主要来自视觉好感而非身份价值。,True,
0061-15101,63.0,82.0,46.0,58.0,34.0,49.0,4,这张壁纸在审美上明显高于勇者档常规水平，但由于直售获取、稀有度不高，情绪溢价主要来自好看的国风少年感而非稀缺与排面。,True,
0099-18306,63.0,82.0,48.0,58.0,45.0,62.0,4,画面完成度和潮玩化视觉很讨喜，能带来明显审美溢价，但勇者直售的稀缺性与排面有限，整体更偏“好看但不贵气”。,True,
0570-17303,64.0,78.0,45.0,61.0,56.0,47.0,4,整体是完成度很高的清爽夏日风皮肤，审美吸引力明显强于社交炫耀和稀缺收藏价值，因此情绪溢价中等偏上。,True,
0673-11903,58.0,76.0,38.0,45.0,28.0,52.0,4,整体视觉完成度较高、金色炼金氛围明确，但作为扁鹊的常规风格皮肤，排面、稀缺性和收藏驱动力都不算强，因此情绪溢价偏中等。,True,
0431-17504,72.0,79.0,61.0,68.0,78.0,63.0,4,整体是偏高完成度的国风赛季限定，视觉质感和主题统一性较强，但钟馗本身的社交炫耀属性不算顶，情绪溢价主要来自审美与限定收藏价值。,True,
0109-19909,84.0,92.0,78.0,74.0,76.0,66.0,4,这张壁纸在色彩、材质和仙气氛围上完成度很高，传说品质与FMVP身份也带来较强排面，因此整体情绪溢价偏高。,True,
0027-53804,84.0,92.0,78.0,82.0,75.0,74.0,4,整体视觉完成度很高，丝路神话题材与云缨的英气形象融合自然，审美和情感认同都很强，因此情绪溢价偏高。,True,
0006-19309,89.0,92.0,86.0,78.0,90.0,73.0,4,画面完成度和史诗感非常强，且联动珍品传说与限时获取带来较高收藏与展示溢价，整体情绪价值明显偏高。,True,
0081-19009,88.0,92.0,90.0,84.0,91.0,74.0,4,整体是高完成度的无双限定国风幻想风格，视觉质感、排面和稀缺性都很强，属于愿意为情绪价值明显溢价的皮肤。,True,
0050-16710,86.0,92.0,83.0,79.0,88.0,68.0,4,整体是高完成度的神话系无双质感，视觉精致、排面足、收藏属性强，但创意更多体现在精修与气质统一而非颠覆式惊喜。,True,
0029-50704,79.0,86.0,84.0,78.0,82.0,63.0,4,画面质感和角色气质都很强，李信首款无双带来明显排面与收藏驱动，但创意表达仍偏稳，整体情绪溢价偏高。,True,
0795-10602,92.0,95.0,91.0,84.0,96.0,73.0,5,整体视觉完成度极高，天鹅主题与黑白对照的高级感很强，且荣耀典藏属性带来明显的排面与收藏溢价。,True,
0044-12311,90.0,92.0,95.0,82.0,98.0,78.0,4,作为荣耀典藏，且壁纸呈现出强烈的高规格视觉冲击与极高稀缺性，整体情绪溢价非常高。,True,
0028-14211,88.0,94.0,92.0,86.0,95.0,78.0,4,整体视觉完成度很高且荣耀典藏带来强烈稀缺与排面感，童话重构主题也能强化安琪拉玩家的情感认同，因此情绪溢价明显偏高。,True,
0253-12807,78.0,86.0,74.0,62.0,58.0,57.0,4,整体是高完成度的运动英雄主题壁纸，画面光感和人物张力很强，能带来明显的视觉溢价，但题材不算特别稀缺，情绪加成主要来自审美与角色气质而非收藏或惊喜。,True,
0039-15309,58.0,78.0,34.0,62.0,52.0,41.0,4,画面质感和角色气质都不错，侦探主题对兰陵王有一定契合度，但作为王者水晶勇者皮肤，稀缺性与排面有限，因此情绪溢价中等偏上。,True,
0008-51902,86.0,93.0,84.0,78.0,81.0,72.0,5,整体视觉完成度很高、角色与神龙意象强烈，联动限定带来明确的情绪加成，但作为直售获取又削弱了稀缺炫耀溢价。,True,
0064-19308,84.0,92.0,86.0,78.0,91.0,67.0,4,整体是高完成度的无双级神圣史诗风皮肤，视觉质感和稀缺性都很强，情绪溢价主要由精致审美与限定收藏驱动。,True,
0675-18601,52.0,61.0,38.0,56.0,41.0,57.0,4,整体属于有明确主题辨识度、视觉完成度尚可的常规风格皮肤，能带来一定情绪价值，但在稀缺性和排面感上不突出。,True,
